list_name,name,label,dzongkhag,gewog
gewog,D03G11,G11 Drepong,D03,
gewog,D03G12,G12 Saling,D03,
gewog,D03G13,G13 Mongar,D03,
gewog,D03G14,G14 Kengkhar,D03,
gewog,D03G15,G15 Silambi,D03,
gewog,D03G16,G16 Jurmey,D03,
gewog,D04G01,G01 Menbee,D04,
gewog,D04G02,G02 Tshenkhar,D04,
gewog,D04G03,G03 Dungkhar,D04,
gewog,D04G04,G04 Gangzur,D04,
gewog,D04G05,G05 Jaray,D04,
gewog,D04G06,G06 Khoma,D04,
gewog,D04G07,G07 Minjay,D04,
gewog,D04G08,G08 Metsho,D04,
gewog,D04G09,G09 Kurtoe,D04,
gewog,D05G01,G01 Zobel,D05,
gewog,D05G02,G02 Khar,D05,
gewog,D05G03,G03 Yurung,D05,
gewog,D05G04,G04 Nanong,D05,
gewog,D05G05,G05 Shumar,D05,
gewog,D05G06,G06 Chongshing,D05,
gewog,D05G07,G07 Dungmin,D05,
gewog,D06G01,G01 Gomdar,D06,
gewog,D06G02,G02 Wongphu,D06,
gewog,D06G03,G03 Martshala,D06,
gewog,D06G04,G04 Orong,D06,
gewog,D06G05,G05 Serthi,D06,
gewog,D06G06,G06 Lauri,D06,
gewog,D07G01,G01 Trong,D07,
gewog,D07G02,G02 Nangkhor,D07,
gewog,D07G03,G03 Shingkhar,D07,
gewog,D07G04,G04 Bardo,D07,
gewog,D08G01,G01 Chhokhor,D08,
gewog,D08G02,G02 Chamkhar Town,D08,
gewog,D08G03,G03 Tang,D08,
gewog,D08G04,G04 Ura,D08,
gewog,D08G05,G05 Chumey,D08,
gewog,D09G01,G01 Tangsibjee,D09,
gewog,D09G02,G02 Nubi,D09,
gewog,D09G03,G03 Drakteng,D09,
gewog,D09G04,G04 Langthel,D09,
gewog,D10G01,G01 Sephu,D10,
gewog,D10G02,G02 Phobji,D10,
gewog,D10G03,G03 Gangtey,D10,
gewog,D10G04,G04 Dangchu,D10,
gewog,D10G05,G05 Nisho,D10,
gewog,D10G06,G06 Kazhi,D10,
gewog,D10G07,G07 Nahi,D10,
gewog,D10G08,G08 Bjena,D10,
gewog,D10G09,G09 Daga,D10,
gewog,D10G10,G10 Athang,D10,
gewog,D10G11,G11 Gase Tshogom,D10,
gewog,D10G12,G12 Gase Tshowom,D10,
gewog,D10G13,G13 Rubesa,D10,
gewog,D10G14,G14 Nubding Town,D10,
gewog,D10G15,G15 Phangyul,D10,
gewog,D11G01,G01 Guma ,D11,
gewog,D11G02,G02 Kabjisa ,D11,
gewog,D11G03,G03 Shengana,D11,
gewog,D11G04,G04 Toebisa ,D11,
gewog,D11G05,G05 Genshari,D11,
gewog,D11G06,G06 Lingmukha ,D11,
gewog,D11G07,G07 Talo,D11,
gewog,D11G08,G08 Toewang,D11,
gewog,D11G09,G09 Chubhu,D11,
gewog,D12G01,G01 Khamaed,D12,
gewog,D12G02,G02 Khatoed,D12,
gewog,D12G03,G03 Laya,D12,
gewog,D12G04,G04 Lunana,D12,
gewog,D13G01,G01 Dorona,D13,
gewog,D13G02,G02 Drujegang,D13,
gewog,D13G03,G03 Gesarling,D13,
gewog,D13G04,G04 Goshi,D13,
gewog,D13G05,G05 Kana,D13,
gewog,D13G06,G06 Karmaling,D13,
gewog,D13G07,G07 Khebisa,D13,
gewog,D13G08,G08 Lagyab,D13,
gewog,D13G09,G09 Lhamoi Zingkha,D13,
gewog,D13G10,G10 Nichula,D13,
gewog,D13G11,G11 Trashiding,D13,
gewog,D13G12,G12 Tsangkha,D13,
gewog,D13G13,G13 Tsendagang,D13,
gewog,D13G14,G14 Tseza,D13,
gewog,D14G01,G01 Barshong,D14,
gewog,D14G02,G02 Dunglagang,D14,
gewog,D14G03,G03 Gosarling,D14,
gewog,D14G04,G04 Kilkhorthang,D14,
gewog,D14G05,G05 Mendrelgang,D14,
gewog,D14G06,G06 Patshaling,D14,
gewog,D14G07,G07 Phuntenchhu,D14,
gewog,D14G08,G08 Rangthangling,D14,
gewog,D14G09,G09 Semjong,D14,
gewog,D14G10,G10 Sergithang,D14,
gewog,D14G11,G11 Tsholingkhar,D14,
gewog,D14G12,G12 Tsirang Toed,D14,
gewog,D15G01,G01 Bjagchhog,D15,
gewog,D15G02,G02 Bongo,D15,
gewog,D15G03,G03 Chapcha,D15,
gewog,D15G04,G04 Darla,D15,
gewog,D15G05,G05 Dungna,D15,
gewog,D15G06,G06 Geling,D15,
gewog,D15G07,G07 Getana,D15,
gewog,D15G08,G08 Lokchina,D15,
gewog,D15G09,G09 Metakha,D15,
gewog,D15G10,G10 Phuentsholing,D15,
gewog,D15G11,G11 Sampheling,D15,
tshowog,D01G01T01 Chaling,T01 Chaling,D01,D01G01
tshowog,D01G01T02 Galing,T02 Galing,D01,D01G01
tshowog,D01G01T03 Gongseyphangma,T03 Gongseyphangma,D01,D01G01
tshowog,D01G01T04 Shongphu,T04 Shongphu,D01,D01G01
tshowog,D01G01T05 Changmey,T05 Changmey,D01,D01G01
tshowog,D01G02T01 Bikhar,T01 Bikhar,D01,D01G02
tshowog,D01G02T02 Rangshikhar,T02 Rangshikhar,D01,D01G02
tshowog,D01G02T03 Samchiling,T03 Samchiling,D01,D01G02
tshowog,D01G02T04 Yenang Brangsa,T04 Yenang Brangsa,D01,D01G02
tshowog,D01G02T05 Khapti,T05 Khapti,D01,D01G02
tshowog,D01G02T07 Pam,T07 Pam,D01,D01G02
tshowog,D01G03T01 Rongthung,T01 Rongthung,D01,D01G03
tshowog,D01G03T02 Kanglung,T02 Kanglung,D01,D01G03
tshowog,D01G03T03 Yonphula & Yonphula(Pam),T03 Yonphula & Yonphula(Pam),D01,D01G03
tshowog,D01G03T04 Manthung,T04 Manthung,D01,D01G03
tshowog,D01G03T05 Retsethung,T05 Retsethung,D01,D01G03
tshowog,D01G04T01 Monangkhola,T01 Monangkhola,D01,D01G04
tshowog,D01G04T02 Dawazor,T02 Dawazor,D01,D01G04
tshowog,D01G04T03 Gomchu,T03 Gomchu,D01,D01G04
tshowog,D01G04T04 Barshong,T04 Barshong,D01,D01G04
tshowog,D01G04T05 Braykha,T05 Braykha,D01,D01G04
tshowog,D01G04T07 Gonpa,T07 Gonpa,D01,D01G04
tshowog,D01G04T08 Bephu,T08 Bephu,D01,D01G04
tshowog,D01G04T09 Jeri lemi,T09 Jeri lemi,D01,D01G04
tshowog,D01G04T10 Khaling ,T10 Khaling ,D01,D01G04
tshowog,D01G05T01 Dungmanma,T01 Dungmanma,D01,D01G05
tshowog,D01G05T02 Tshogonpa,T02 Tshogonpa,D01,D01G05
tshowog,D01G05T03 Kheshing,T03 Kheshing,D01,D01G05
tshowog,D01G05T04 Kurchilu,T04 Kurchilu,D01,D01G05
tshowog,D01G05T05 Moshi,T05 Moshi,D01,D01G05
tshowog,D01G05T07 Riserbo,T07 Riserbo,D01,D01G05
tshowog,D01G05T08 Kharphu,T08 Kharphu,D01,D01G05
tshowog,D01G05T09 Shatsari,T09 Shatsari,D01,D01G05
tshowog,D01G06T01 Thrimshing,T01 Thrimshing,D01,D01G06
tshowog,D01G06T02 Tsangpo,T02 Tsangpo,D01,D01G06
tshowog,D01G06T03 Bardungma,T03 Bardungma,D01,D01G06
tshowog,D01G06T04 Phushing,T04 Phushing,D01,D01G06
tshowog,D01G06T05 Phegpheri/wemkhar,T05 Phegpheri/wemkhar,D01,D01G06
tshowog,D01G07T01 Mixed,T01 Mixed,D01,D01G07
tshowog,D01G07T02 Gungthung,T02 Gungthung,D01,D01G07
tshowog,D01G07T03 Shokhang,T03 Shokhang,D01,D01G07
tshowog,D01G07T04 Dhaliphangma,T04 Dhaliphangma,D01,D01G07
tshowog,D01G07T05 Kharzeleyphu,T05 Kharzeleyphu,D01,D01G07
tshowog,D01G07T07 Darjeling Khardung ,T07 Darjeling Khardung ,D01,D01G07
tshowog,D01G07T08 Durung,T08 Durung,D01,D01G07
tshowog,D01G08T01 Dunggoen,T01 Dunggoen,D01,D01G08
tshowog,D01G08T02 Tongling Khatoe,T02 Tongling Khatoe,D01,D01G08
tshowog,D01G08T03 Tangthrang,T03 Tangthrang,D01,D01G08
tshowog,D01G08T04 Tsangkhar,T04 Tsangkhar,D01,D01G08
tshowog,D01G08T05 Malongkhar,T05 Malongkhar,D01,D01G08
tshowog,D01G08T06 Tokshimang,T06 Tokshimang,D01,D01G08
tshowog,D01G08T07 Kadam,T07 Kadam,D01,D01G08
tshowog,D01G09T01 Mixed,T01 Mixed,D01,D01G09
tshowog,D01G09T02 Thongrong,T02 Thongrong,D01,D01G09
tshowog,D01G09T03 Phongmey,T03 Phongmey,D01,D01G09
tshowog,D01G09T04 Yabrang,T04 Yabrang,D01,D01G09
tshowog,D01G09T05 Breng,T05 Breng,D01,D01G09
tshowog,D01G09T07 Phimshong,T07 Phimshong,D01,D01G09
tshowog,D01G10T01 Kumung,T01 Kumung,D01,D01G10
tshowog,D01G10T02 Dzongthung,T02 Dzongthung,D01,D01G10
tshowog,D01G10T03 Nangkhar,T03 Nangkhar,D01,D01G10
tshowog,D01G10T04 Bargem,T04 Bargem,D01,D01G10
tshowog,D01G10T05 Tashang,T05 Tashang,D01,D01G10
tshowog,D01G10T06 Mukthangkhar,T06 Mukthangkhar,D01,D01G10
tshowog,D01G11T01 Lempang,T01 Lempang,D01,D01G11
tshowog,D01G11T02 Tsektum,T02 Tsektum,D01,D01G11
tshowog,D01G11T03 Dori,T03 Dori,D01,D01G11
tshowog,D01G11T04 Khari,T04 Khari,D01,D01G11
tshowog,D01G11T05 Tsenkhar,T05 Tsenkhar,D01,D01G11
tshowog,D01G11T06 Kakaniwog,T06 Kakaniwog,D01,D01G11
tshowog,D01G11T07 Bidhung,T07 Bidhung,D01,D01G11
tshowog,D01G12T01 Cheya,T01 Cheya,D01,D01G12
tshowog,D01G12T02 Mangkhar,T02 Mangkhar,D01,D01G12
tshowog,D01G12T03 Barkazor,T03 Barkazor,D01,D01G12
tshowog,D01G12T04 Bepam,T04 Bepam,D01,D01G12
tshowog,D01G12T05 Gengkhar,T05 Gengkhar,D01,D01G12
tshowog,D01G12T07 Khamey ,T07 Khamey ,D01,D01G12
tshowog,D01G13T01 Merdha,T01 Merdha,D01,D01G13
tshowog,D01G13T02 Passaphu,T02 Passaphu,D01,D01G13
tshowog,D01G13T03 Kangpara,T03 Kangpara,D01,D01G13
tshowog,D01G13T04 Threphu,T04 Threphu,D01,D01G13
tshowog,D01G13T05 Zordung,T05 Zordung,D01,D01G13
tshowog,D02G01T01 Bayling,T01 Bayling,D02,D02G01
tshowog,D02G01T02 Tsergom and Bhimkhar,T02 Tsergom and Bhimkhar,D02,D02G01
tshowog,D02G01T03 Baney,T03 Baney,D02,D02G01
tshowog,D02G01T04 Luchen,T04 Luchen,D02,D02G01
tshowog,D02G01T05 Gangkha,T05 Gangkha,D02,D02G01
tshowog,D02G01T06 Rabti,T06 Rabti,D02,D02G01
tshowog,D02G02T01 Shaling and kuncholing,T01 Shaling and kuncholing,D02,D02G02
tshowog,D02G02T02 Nomaring and yartse,T02 Nomaring and yartse,D02,D02G02
tshowog,D02G02T03 Gardung,T03 Gardung,D02,D02G02
tshowog,D02G02T04 Lengkhar and karmazom,T04 Lengkhar and karmazom,D02,D02G02
tshowog,D02G02T05 Saripang,T05 Saripang,D02,D02G02
tshowog,D02G02T07 Shalam,T07 Shalam,D02,D02G02
tshowog,D02G02T08 Domtshang,T08 Domtshang,D02,D02G02
tshowog,D02G02T09 Khamdrang,T09 Khamdrang,D02,D02G02
tshowog,D02G03T01 Banangkhar & Bhaksha,T01 Banangkhar & Bhaksha,D02,D02G03
tshowog,D02G03T02 Kenmong and Changmadung,T02 Kenmong and Changmadung,D02,D02G03
tshowog,D02G03T03 Menchu and Tsengadung,T03 Menchu and Tsengadung,D02,D02G03
tshowog,D02G03T04 Pang and Maimung,T04 Pang and Maimung,D02,D02G03
tshowog,D02G03T05 Kunzaling,T05 Kunzaling,D02,D02G03
tshowog,D02G03T06 Tsangadung,T06 Tsangadung,D02,D02G03
tshowog,D02G04T01 Takshema,T01 Takshema,D02,D02G04
tshowog,D02G04T02 Shingkhar,T02 Shingkhar,D02,D02G04
tshowog,D02G04T03 Domshing ,T03 Domshing ,D02,D02G04
tshowog,D02G04T04 Rejung,T04 Rejung,D02,D02G04
tshowog,D02G04T05 Zoryoup,T05 Zoryoup,D02,D02G04
tshowog,D02G04T06 Larjab,T06 Larjab,D02,D02G04
tshowog,D02G04T07 Nindapachu,T07 Nindapachu,D02,D02G04
tshowog,D02G05T01 Ramjar,T01 Ramjar,D02,D02G05
tshowog,D02G05T02 Woongkhar,T02 Woongkhar,D02,D02G05
tshowog,D02G05T03 Gonpa,T03 Gonpa,D02,D02G05
tshowog,D02G05T04 Bainangrap ,T04 Bainangrap ,D02,D02G05
tshowog,D02G05T05 Pangthang ,T05 Pangthang ,D02,D02G05
tshowog,D02G06T01 Baytsamang,T01 Baytsamang,D02,D02G06
tshowog,D02G06T02 Ngalemang,T02 Ngalemang,D02,D02G06
tshowog,D02G06T03 Gangkardung,T03 Gangkardung,D02,D02G06
tshowog,D02G06T04 Phangteng,T04 Phangteng,D02,D02G06
tshowog,D02G06T05 Tarphel,T05 Tarphel,D02,D02G06
tshowog,D02G06T06 Tsaling,T06 Tsaling,D02,D02G06
tshowog,D02G06T07 Bamdir,T07 Bamdir,D02,D02G06
tshowog,D02G06T08 Woomanang,T08 Woomanang,D02,D02G06
tshowog,D02G06T09 Longkhar,T09 Longkhar,D02,D02G06
tshowog,D02G07T01 Rolam,T01 Rolam,D02,D02G07
tshowog,D02G07T02 Melongkhar,T02 Melongkhar,D02,D02G07
tshowog,D02G07T03 Lemphang,T03 Lemphang,D02,D02G07
tshowog,D02G07T04 Duktey ,T04 Duktey ,D02,D02G07
tshowog,D02G07T05 Chema ,T05 Chema ,D02,D02G07
tshowog,D02G07T07 Yalang ,T07 Yalang ,D02,D02G07
tshowog,D02G08T01 Sep,T01 Sep,D02,D02G08
tshowog,D02G08T02 Sertsho,T02 Sertsho,D02,D02G08
tshowog,D02G08T03 Jangbu,T03 Jangbu,D02,D02G08
tshowog,D02G08T04 Manamchen,T04 Manamchen,D02,D02G08
tshowog,D02G08T05 Medung,T05 Medung,D02,D02G08
tshowog,D03G01T01 Sershong,T01 Sershong,D03,D03G01
tshowog,D03G01T02 Jabgang/Shermung,T02 Jabgang/Shermung,D03,D03G01
tshowog,D03G01T03 Mohung,T03 Mohung,D03,D03G01
tshowog,D03G01T04 Sanaykhar,T04 Sanaykhar,D03,D03G01
tshowog,D03G01T05 Gangmung,T05 Gangmung,D03,D03G01
tshowog,D03G02T01 Drongtey,T01 Drongtey,D03,D03G02
tshowog,D03G02T02 Peatshongbi,T02 Peatshongbi,D03,D03G02
tshowog,D03G02T03 Thungling,T03 Thungling,D03,D03G02
tshowog,D03G02T04 Nertse,T04 Nertse,D03,D03G02
tshowog,D03G02T05 Tahambi,T05 Tahambi,D03,D03G02
tshowog,D03G03T01 Gonpa,T01 Gonpa,D03,D03G03
tshowog,D03G03T02 Chulibi,T02 Chulibi,D03,D03G03
tshowog,D03G03T03 Chali,T03 Chali,D03,D03G03
tshowog,D03G03T04 Wangmakhar,T04 Wangmakhar,D03,D03G03
tshowog,D03G03T05 Pangthang ,T05 Pangthang ,D03,D03G03
tshowog,D03G04T01 Thengmung,T01 Thengmung,D03,D03G04
tshowog,D03G04T02 Dangmaling,T02 Dangmaling,D03,D03G04
tshowog,D03G04T03 Tokari,T03 Tokari,D03,D03G04
tshowog,D03G04T04 Banjar,T04 Banjar,D03,D03G04
tshowog,D03G04T05 Ganglapong,T05 Ganglapong,D03,D03G04
tshowog,D03G05T01 Balam,T01 Balam,D03,D03G05
tshowog,D03G05T02 Jadung,T02 Jadung,D03,D03G05
tshowog,D03G05T03 Khapshing,T03 Khapshing,D03,D03G05
tshowog,D03G05T04 Bakfai,T04 Bakfai,D03,D03G05
tshowog,D03G06T01 Narang,T01 Narang,D03,D03G06
tshowog,D03G06T02 Khalong,T02 Khalong,D03,D03G06
tshowog,D03G06T03 Thrinangbo,T03 Thrinangbo,D03,D03G06
tshowog,D03G06T04 Gomchu,T04 Gomchu,D03,D03G06
tshowog,D03G06T05 Dhonghung,T05 Dhonghung,D03,D03G06
tshowog,D03G07T01 Bazor,T01 Bazor,D03,D03G07
tshowog,D03G07T02 Baging,T02 Baging,D03,D03G07
tshowog,D03G07T03 Shaphangma,T03 Shaphangma,D03,D03G07
tshowog,D03G07T04 Zangkhar,T04 Zangkhar,D03,D03G07
tshowog,D03G08T01 Pelshup,T01 Pelshup,D03,D03G08
tshowog,D03G08T02 Ngatsang,T02 Ngatsang,D03,D03G08
tshowog,D03G08T03 Phanas,T03 Phanas,D03,D03G08
tshowog,D03G08T04 Zangdary,T04 Zangdary,D03,D03G08
tshowog,D03G08T05 Thumbary,T05 Thumbary,D03,D03G08
tshowog,D03G08T07 Phalsa,T07 Phalsa,D03,D03G08
tshowog,D03G09T01 Gonpa,T01 Gonpa,D03,D03G09
tshowog,D03G09T02 Yarang Phushing,T02 Yarang Phushing,D03,D03G09
tshowog,D03G09T03 Yeatong,T03 Yeatong,D03,D03G09
tshowog,D03G09T04 Lamtag,T04 Lamtag,D03,D03G09
tshowog,D03G10T01 Bowcheling,T01 Bowcheling,D03,D03G10
tshowog,D03G10T02 Athola,T02 Athola,D03,D03G10
tshowog,D03G10T03 Changshing gonpa,T03 Changshing gonpa,D03,D03G10
tshowog,D03G10T07 Marpongtong ,T07 Marpongtong ,D03,D03G10
tshowog,D03G10T08 Lingkhar ,T08 Lingkhar ,D03,D03G10
tshowog,"D03G11T01 Laptsa, Bumpazor","T01 Laptsa, Bumpazor",D03,D03G11
tshowog,D03G11T02 Chakzor,T02 Chakzor,D03,D03G11
tshowog,D03G11T03 Zunglen,T03 Zunglen,D03,D03G11
tshowog,D03G11T04 Drepong,T04 Drepong,D03,D03G11
tshowog,D03G11T05 Nyamla,T05 Nyamla,D03,D03G11
tshowog,D03G12T01 Tsantsabi/Zangitsawa,T01 Tsantsabi/Zangitsawa,D03,D03G12
tshowog,D03G12T02 Broksar,T02 Broksar,D03,D03G12
tshowog,D03G12T03 Sengor,T03 Sengor,D03,D03G12
tshowog,D03G12T04 Saling ,T04 Saling ,D03,D03G12
tshowog,D03G12T05 Thringtangbee,T05 Thringtangbee,D03,D03G12
tshowog,D03G12T07 Rasa,T07 Rasa,D03,D03G12
tshowog,D03G13T01 Kilikar/Wenkar/Yakpugang,T01 Kilikar/Wenkar/Yakpugang,D03,D03G13
tshowog,D03G13T02 Konbar/Takchu,T02 Konbar/Takchu,D03,D03G13
tshowog,D03G13T03 Phosorong/Ridaza/Wl,T03 Phosorong/Ridaza/Wl,D03,D03G13
tshowog,D03G13T04 Themnangbi,T04 Themnangbi,D03,D03G13
tshowog,D03G13T05 Wangling,T05 Wangling,D03,D03G13
tshowog,D03G14T01 Yudrik,T01 Yudrik,D03,D03G14
tshowog,D03G14T02 Dongphu,T02 Dongphu,D03,D03G14
tshowog,D03G14T03 Tongla,T03 Tongla,D03,D03G14
tshowog,D03G14T04 Nanangrey,T04 Nanangrey,D03,D03G14
tshowog,D03G15T01 Nagor,T01 Nagor,D03,D03G15
tshowog,D03G15T02 Silambi Kadak,T02 Silambi Kadak,D03,D03G15
tshowog,D03G15T03 Jaigoan,T03 Jaigoan,D03,D03G15
tshowog,D03G15T04 Wama,T04 Wama,D03,D03G15
tshowog,D03G15T05 Dhak,T05 Dhak,D03,D03G15
tshowog,D03G16T01 Sangkama,T01 Sangkama,D03,D03G16
tshowog,D03G16T02 Beelam,T02 Beelam,D03,D03G16
tshowog,D03G16T03 Muktangkhar,T03 Muktangkhar,D03,D03G16
tshowog,D03G16T04 Yarakla,T04 Yarakla,D03,D03G16
tshowog,D03G16T05 Tselam,T05 Tselam,D03,D03G16
tshowog,D03G16T06 Next Tshowog,T06 Next Tshowog,D03,D03G16
tshowog,D04G01T01 Zhungkhar/Dangling,T01 Zhungkhar/Dangling,D04,D04G01
tshowog,D04G01T02 Naybee,T02 Naybee,D04,D04G01
tshowog,D04G01T03 Menjabi,T03 Menjabi,D04,D04G01
tshowog,D04G01T04 Tangmachu,T04 Tangmachu,D04,D04G01
tshowog,D04G01T05 Domashung,T05 Domashung,D04,D04G01
tshowog,D04G01T06 Khamdar,T06 Khamdar,D04,D04G01
tshowog,D04G02T01 Wombur,T01 Wombur,D04,D04G02
tshowog,D04G02T02 Tshenkhar,T02 Tshenkhar,D04,D04G02
tshowog,D04G02T03 Chabee,T03 Chabee,D04,D04G02
tshowog,D04G02T04 Domkhar,T04 Domkhar,D04,D04G02
tshowog,D04G02T05 Khar,T05 Khar,D04,D04G02
tshowog,D04G02T06 Tahambi,T06 Tahambi,D04,D04G02
tshowog,D04G02T07 Dekilling Tshochen,T07 Dekilling Tshochen,D04,D04G02
tshowog,D04G02T08 Artobadab Bumdag,T08 Artobadab Bumdag,D04,D04G02
tshowog,D04G02T09 Yangla,T09 Yangla,D04,D04G02
tshowog,D04G03T01 Dungkhar,T01 Dungkhar,D04,D04G03
tshowog,D04G03T02 Samdang,T02 Samdang,D04,D04G03
tshowog,D04G03T03 Jasabee,T03 Jasabee,D04,D04G03
tshowog,D04G03T04 Tangrong,T04 Tangrong,D04,D04G03
tshowog,D04G03T05 Manbi,T05 Manbi,D04,D04G03
tshowog,D04G03T06 Tabee,T06 Tabee,D04,D04G03
tshowog,D04G03T07 Tungbay,T07 Tungbay,D04,D04G03
tshowog,D04G03T08 Chazam,T08 Chazam,D04,D04G03
tshowog,D04G03T09 Shershong,T09 Shershong,D04,D04G03
tshowog,D04G04T01 Thrimen/Threma,T01 Thrimen/Threma,D04,D04G04
tshowog,D04G04T02 Ngye,T02 Ngye,D04,D04G04
tshowog,D04G04T03 Jang,T03 Jang,D04,D04G04
tshowog,D04G04T04 Nyemzhong,T04 Nyemzhong,D04,D04G04
tshowog,D04G04T05 Mayar,T05 Mayar,D04,D04G04
tshowog,D04G04T07 Shawa,T07 Shawa,D04,D04G04
tshowog,D04G04T08 Somshing,T08 Somshing,D04,D04G04
tshowog,"D04G05T01 Changkhala, Yabee & Jaray","T01 Changkhala, Yabee & Jaray",D04,D04G05
tshowog,"D04G05T02 Ladrong, Kharchung & Ngangngay","T02 Ladrong, Kharchung & Ngangngay",D04,D04G05
tshowog,D04G05T03 Yumtse,T03 Yumtse,D04,D04G05
tshowog,D04G06T01 Pangkhar,T01 Pangkhar,D04,D04G06
tshowog,D04G06T02 Berba,T02 Berba,D04,D04G06
tshowog,D04G06T03 Nyalamdung,T03 Nyalamdung,D04,D04G06
tshowog,D04G06T04 Gangla,T04 Gangla,D04,D04G06
tshowog,D04G06T05 Goenpakab(Goenkhar),T05 Goenpakab(Goenkhar),D04,D04G06
tshowog,D04G06T07 Lawa,T07 Lawa,D04,D04G06
tshowog,D04G06T08 Babtong,T08 Babtong,D04,D04G06
tshowog,D04G06T09 Barbakhoma,T09 Barbakhoma,D04,D04G06
tshowog,D04G06T10 Pamthong,T10 Pamthong,D04,D04G06
tshowog,D04G06T11 Tshennu,T11 Tshennu,D04,D04G06
tshowog,D04G07T01 Jalang,T01 Jalang,D04,D04G07
tshowog,D04G07T02 Minjay,T02 Minjay,D04,D04G07
tshowog,D04G07T03 Kupte-nge-tsha,T03 Kupte-nge-tsha,D04,D04G07
tshowog,D04G07T04 Zham,T04 Zham,D04,D04G07
tshowog,D04G07T05 Kupangasa Budur,T05 Kupangasa Budur,D04,D04G07
tshowog,D04G07T07 Minjiwangchen,T07 Minjiwangchen,D04,D04G07
tshowog,D04G08T01 Ungar,T01 Ungar,D04,D04G08
tshowog,D04G08T02 Gortsham,T02 Gortsham,D04,D04G08
tshowog,D04G08T03 Tongthrong,T03 Tongthrong,D04,D04G08
tshowog,D04G08T04 Bamdir,T04 Bamdir,D04,D04G08
tshowog,D04G08T05 Zhongmey ,T05 Zhongmey ,D04,D04G08
tshowog,D05G01T01 Zobel,T01 Zobel,D05,D05G01
tshowog,D05G01T02 Ngamalang,T02 Ngamalang,D05,D05G01
tshowog,D05G01T03 Resinang,T03 Resinang,D05,D05G01
tshowog,D05G01T04 Chungkhar,T04 Chungkhar,D05,D05G01
tshowog,D05G01T05 Shumartung,T05 Shumartung,D05,D05G01
tshowog,D05G01T06 Pangthangdaza,T06 Pangthangdaza,D05,D05G01
tshowog,D05G01T07 Tsalingkhor,T07 Tsalingkhor,D05,D05G01
tshowog,D05G02T01 Tsezor,T01 Tsezor,D05,D05G02
tshowog,D05G02T02 Labar,T02 Labar,D05,D05G02
tshowog,D05G02T03 Shenary,T03 Shenary,D05,D05G02
tshowog,D05G02T04 Nagtzeri,T04 Nagtzeri,D05,D05G02
tshowog,D05G02T05 Khengzor,T05 Khengzor,D05,D05G02
tshowog,D05G03T01 Thungo,T01 Thungo,D05,D05G03
tshowog,D05G03T02 Bangdala,T02 Bangdala,D05,D05G03
tshowog,D05G03T03 Dungsingma,T03 Dungsingma,D05,D05G03
tshowog,D05G03T04 Khominang,T04 Khominang,D05,D05G03
tshowog,D05G03T05 Khama,T05 Khama,D05,D05G03
tshowog,D05G04T01 Dalung,T01 Dalung,D05,D05G04
tshowog,D05G04T02 Tayphu,T02 Tayphu,D05,D05G04
tshowog,D05G04T03 Wungchilo,T03 Wungchilo,D05,D05G04
tshowog,D05G04T04 Tokari,T04 Tokari,D05,D05G04
tshowog,D05G04T07 Woligtang,T07 Woligtang,D05,D05G04
tshowog,D05G04T08 Raling,T08 Raling,D05,D05G04
tshowog,D05G04T09 Nanong Pangthang,T09 Nanong Pangthang,D05,D05G04
